Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
Alemania,"82,349,925","82,488,495","82,534,176","82,516,260","82,469,422","82,376,451","82,266,372","82,110,097","81,902,307","81,776,930","81,726,000"
Argentina,"37,302,116","37,657,340","38,001,251","38,340,778","38,681,174","39,023,850","39,368,066","39,714,298","40,062,470","40,412,376","40,764,561"
Australia,"19,413,000","19,651,400","19,895,400","20,127,400","20,394,800","20,697,900","21,072,500","21,498,500","21,951,700","22,299,800","22,620,600"
Austria,"8,042,293","8,081,957","8,121,423","8,171,966","8,227,829","8,268,641","8,300,788","8,336,926","8,365,275","8,389,771","8,419,000"
Bélgica,"10,286,570","10,332,785","10,376,133","10,421,137","10,478,617","10,547,958","10,625,700","10,709,973","10,796,493","10,895,785","11,008,000"
Bolivia,"8,476,709","8,646,659","8,815,911","8,982,917","9,146,655","9,306,660","9,463,497","9,618,466","9,773,441","9,929,849","10,088,108"
Brasil,"176,877,135","179,289,227","181,633,074","183,873,377","185,986,964","187,958,211","189,798,070","191,543,237","193,246,610","194,946,470","196,655,014"
Canadá,"31,081,900","31,362,000","31,676,000","31,995,000","32,312,000","32,576,074","32,929,733","33,319,098","33,729,690","34,126,181","34,482,779"
Chile,"15,604,200","15,783,991","15,959,793","16,132,209","16,301,726","16,468,677","16,633,254","16,795,593","16,955,737","17,113,688","17,269,525"
China,"1,271,850,000","1,280,400,000","1,288,400,000","1,296,075,000","1,303,720,000","1,311,020,000","1,317,885,000","1,324,655,000","1,331,380,000","1,337,825,000","1,344,130,000"
Colombia,"40,422,597","41,078,136","41,731,914","42,385,712","43,040,558","43,696,540","44,352,327","45,005,782","45,654,044","46,294,841","46,927,125"
Corea del Sur,"47,357,000","47,622,000","47,859,000","48,039,000","48,138,000","48,372,000","48,598,000","48,949,000","49,182,000","49,410,000","49,779,000"
Costa Rica,"4,002,946","4,083,197","4,160,438","4,235,605","4,309,413","4,381,820","4,452,608","4,522,124","4,590,790","4,658,887","4,726,575"
Dinamarca,"5,358,783","5,375,931","5,390,574","5,404,523","5,419,432","5,437,272","5,461,438","5,493,621","5,523,095","5,547,683","5,574,000"
El Salvador,"5,966,027","5,988,233","6,008,523","6,028,792","6,050,513","6,074,487","6,100,868","6,129,628","6,160,423","6,192,993","6,227,491"
España,"40,720,484","41,313,973","42,004,522","42,691,689","43,398,143","44,116,441","44,878,945","45,555,716","45,908,594","46,070,971","46,235,000"
EUA,"284,968,955","287,625,193","290,107,933","292,805,298","295,516,599","298,379,912","301,231,207","304,093,966","306,771,529","309,349,689","311,591,917"
Finlandia,"5,188,008","5,200,598","5,213,014","5,228,172","5,246,096","5,266,268","5,288,720","5,313,399","5,338,871","5,363,352","5,387,000"
Francia,"61,355,563","61,803,045","62,242,266","62,701,871","63,175,934","63,617,567","64,012,051","64,370,515","64,720,232","65,075,569","65,436,552"
Grecia,"10,949,957","10,987,543","11,023,514","11,061,701","11,103,965","11,148,460","11,192,763","11,237,094","11,282,760","11,315,508","11,304,000"
Guatemala,"11,512,637","11,800,351","12,098,576","12,404,764","12,717,154","13,034,904","13,358,842","13,690,846","14,033,623","14,388,929","14,757,316"
Holanda,"16,046,180","16,148,929","16,225,302","16,281,779","16,319,868","16,346,101","16,381,696","16,445,593","16,530,388","16,615,394","16,696,000"
Hungría,"10,187,576","10,158,608","10,129,552","10,107,146","10,087,065","10,071,370","10,055,780","10,038,188","10,022,650","10,000,023","9,971,000"
India,"1,071,374,264","1,088,694,080","1,105,885,689","1,122,991,192","1,140,042,863","1,157,038,539","1,173,971,629","1,190,863,679","1,207,740,408","1,224,614,327","1,241,491,960"
Irlanda,"3,866,243","3,931,947","3,996,521","4,070,262","4,159,914","4,260,341","4,356,931","4,425,683","4,458,942","4,474,356","4,487,000"
Israel,"6,439,000","6,570,000","6,689,700","6,809,000","6,930,100","7,053,700","7,180,100","7,308,800","7,485,600","7,623,600","7,765,700"
Italia,"56,977,217","57,157,406","57,604,658","58,175,310","58,607,043","58,941,499","59,375,289","59,832,179","60,192,698","60,483,385","60,770,000"
Japón,"127,149,000","127,445,000","127,718,000","127,761,000","127,773,000","127,756,000","127,770,750","127,704,040","127,557,958","127,450,459","127,817,277"
Malasia,"23,964,621","24,515,323","25,060,184","25,590,453","26,100,241","26,586,287","27,051,142","27,502,008","27,949,395","28,401,017","28,859,154"
México,"101,329,543","102,634,153","103,902,569","105,175,967","106,483,757","107,835,259","109,220,753","110,627,158","112,033,369","113,423,047","114,793,341"
Nicaragua,"5,148,635","5,219,724","5,288,271","5,356,012","5,424,336","5,493,527","5,563,654","5,635,577","5,710,230","5,788,163","5,869,859"
Noruega,"4,513,751","4,538,159","4,564,855","4,591,910","4,623,291","4,660,677","4,709,153","4,768,212","4,828,726","4,889,252","4,952,000"
Panamá,"3,012,635","3,069,123","3,125,565","3,181,969","3,238,321","3,294,583","3,350,673","3,406,487","3,461,901","3,516,820","3,571,185"
Perú,"26,228,274","26,579,252","26,916,342","27,242,033","27,558,769","27,866,387","28,166,078","28,463,338","28,765,162","29,076,512","29,399,817"
Polonia,"38,248,076","38,230,364","38,204,570","38,182,222","38,165,445","38,141,267","38,120,560","38,125,759","38,151,603","38,183,683","38,216,000"
Portugal,"10,292,999","10,368,403","10,441,075","10,501,970","10,549,424","10,584,344","10,608,335","10,622,413","10,632,482","10,637,346","10,637,000"
Reino Unido,"59,107,960","59,325,809","59,566,259","59,867,866","60,224,307","60,595,632","60,986,649","61,393,521","61,811,027","62,231,336","62,641,000"
Rep. Checa,"10,236,491","10,204,853","10,207,362","10,216,016","10,235,828","10,269,134","10,334,160","10,424,336","10,487,178","10,519,792","10,546,000"
Rep. Dominicana,"8,726,256","8,860,760","8,995,398","9,129,965","9,264,267","9,398,285","9,531,954","9,664,948","9,796,852","9,927,320","10,056,181"
Rusia,"145,949,580","145,299,690","144,599,447","143,849,574","143,150,000","142,500,000","142,100,000","141,950,000","141,910,000","141,920,000","141,930,000"
Sudáfrica,"44,909,738","45,533,292","46,116,494","46,664,771","47,198,469","47,730,946","48,257,282","48,793,022","49,320,150","49,991,300","50,586,757"
Suecia,"8,895,960","8,924,958","8,958,229","8,993,531","9,029,572","9,080,505","9,148,092","9,219,637","9,298,515","9,378,126","9,453,000"
Suiza,"7,229,854","7,284,753","7,339,001","7,389,625","7,437,115","7,483,934","7,551,117","7,647,675","7,743,831","7,826,153","7,907,000"
Tailandia,"63,898,879","64,642,931","65,370,277","66,060,383","66,698,483","67,276,383","67,796,451","68,267,982","68,706,122","69,122,234","69,518,555"
Turquía,"64,544,914","65,446,165","66,339,433","67,235,927","68,143,186","69,063,538","69,992,754","70,923,730","71,846,212","72,752,325","73,639,596"
Venezuela,"24,765,000","25,220,000","25,674,000","26,127,000","26,577,000","27,031,000","27,483,000","27,935,000","28,384,000","28,834,000","29,278,000"
